"state","district","total_insurance_transactions"
"jharkhand","ramgarh district","8448"
"uttar-pradesh","shahjahanpur district","8439"
"punjab","hoshiarpur district","8362"
"uttar-pradesh","etawah district","8311"
"uttar-pradesh","shamli district","8305"
"maharashtra","sindhudurg district","8256"
"uttar-pradesh","sultanpur district","8109"
"tamil-nadu","tirupathur district","8101"
"uttar-pradesh","rampur district","8081"
"gujarat","anand district","8080"
"rajasthan","sirohi district","8072"
"jammu-&-kashmir","srinagar district","8058"
"tamil-nadu","sivaganga district","7999"
"madhya-pradesh","ratlam district","7986"
"tamil-nadu","karur district","7984"
"chhattisgarh","janjgir champa district","7978"
"uttar-pradesh","unnao district","7952"
"odisha","rayagada district","7871"
"telangana","kamareddy district","7798"
"punjab","pathankot district","7764"
"maharashtra","gondia district","7753"
"andhra-pradesh","tirupati district","7686"
"uttar-pradesh","maharajganj district","7666"
"uttar-pradesh","firozabad district","7633"
"madhya-pradesh","balaghat district","7588"
"tamil-nadu","the nilgiris district","7543"
"assam","dhubri district","7474"
"bihar","saharsa district","7464"
"haryana","fatehabad district","7449"
"gujarat","kheda district","7421"
"west-bengal","malda district","7335"
"uttar-pradesh","mau district","7298"
"uttar-pradesh","hardoi district","7278"
"madhya-pradesh","sehore district","7249"
"uttar-pradesh","baghpat district","7246"
"madhya-pradesh","khargone district","7199"
"maharashtra","nandurbar district","7179"
"rajasthan","sawai madhopur district","7166"
"tamil-nadu","tenkasi district","7136"
"bihar","araria district","7120"
"maharashtra","chhatrapati sambhaji nagar district","7098"
"assam","lakhimpur district","7080"
"odisha","bhadrak district","7038"
"rajasthan","rajsamand district","7035"
"rajasthan","tonk district","6997"
"telangana","mahbubnagar district","6961"
"uttarakhand","pauri garhwal district","6938"
"west-bengal","dakshin dinajpur district","6891"
"telangana","nirmal district","6839"
"jharkhand","hazaribagh district","6807"
"odisha","dhenkanal district","6794"
"jharkhand","deoghar district","6746"
"haryana","mewat district","6746"
"uttar-pradesh","rae bareli district","6733"
"uttar-pradesh","fatehpur district","6720"
"odisha","balangir district","6643"
"rajasthan","jaisalmer district","6641"
"gujarat","navsari district","6629"
"bihar","khagaria district","6607"
"madhya-pradesh","katni district","6556"
"uttar-pradesh","sitapur district","6555"
"tamil-nadu","pudukkottai district","6554"
"bihar","nawada district","6470"
"tamil-nadu","ramanathapuram district","6457"
"uttar-pradesh","gonda district","6446"
"assam","darrang district","6445"
"west-bengal","darjeeling district","6430"
"rajasthan","jaipur rural district","6403"
"madhya-pradesh","raisen district","6400"
"uttar-pradesh","mirzapur district","6399"
"jharkhand","giridih district","6388"
"odisha","kalahandi district","6359"
"chhattisgarh","rajnandgaon district","6358"
"assam","karimganj district","6325"
"uttar-pradesh","siddharthnagar district","6291"
"bihar","buxar district","6289"
"bihar","madhepura district","6280"
"assam","bongaigaon district","6257"
"gujarat","morbi district","6226"
"bihar","supaul district","6213"
"uttar-pradesh","mainpuri district","6182"
"haryana","charkhi dadri district","6166"
"assam","goalpara district","6154"
"madhya-pradesh","morena district","6144"
"uttar-pradesh","budaun district","6106"
"uttar-pradesh","amethi district","6069"
"gujarat","patan district","6058"
"bihar","banka district","6035"
"madhya-pradesh","hoshangabad district","6025"
"telangana","medak district","5921"
"rajasthan","jhalawar district","5913"
"chhattisgarh","bastar district","5907"
"assam","golaghat district","5891"
"madhya-pradesh","mandsaur district","5831"
"uttar-pradesh","chandauli district","5749"
"telangana","rajanna sircilla district","5748"
"madhya-pradesh","seoni district","5726"
"odisha","jagatsinghapur district","5667"
"uttar-pradesh","jalaun district","5658"
"gujarat","surendranagar district","5657"
"rajasthan","bundi district","5624"
"odisha","bargarh district","5607"
"telangana","mahabubabad district","5587"
"assam","kokrajhar district","5581"
"andhra-pradesh","sri potti sriramulu nellore district","5579"
