"state","year","quarter","total_transactions","total_amount"
"delhi",2021,3,"238760608","383858316548.281"
"delhi",2021,4,"292683359","488695314062.3906"
"delhi",2022,1,"330999861","536964920836.2892"
"delhi",2022,2,"410634184","629855650458.2181"
"delhi",2022,3,"475592161","677612647116.1133"
"delhi",2022,4,"515203457","744915016018.5759"
"delhi",2023,1,"409753103","611403109580.0"
"delhi",2023,2,"482138998","661728515657.0"
"delhi",2023,3,"546706983","708199251438.0"
"delhi",2023,4,"598150746","799649719349.0"
"delhi",2024,1,"650734058","832514031113.0"
"delhi",2024,2,"777540400","896917676180.0"
"delhi",2024,3,"844844523","958203383588.0"
"delhi",2024,4,"910543082","1057060485903.0"
"goa",2018,1,"160897","303856742.34308386"
"goa",2018,2,"229575","478603825.35861486"
"goa",2018,3,"339511","713166969.2382338"
"goa",2018,4,"514755","1153005078.9224057"
"goa",2019,1,"738812","1475323397.276577"
"goa",2019,2,"768441","1591867103.3876143"
"goa",2019,3,"1092416","2000367191.496843"
"goa",2019,4,"1515272","2923460348.4994645"
"goa",2020,1,"1881237","3410371231.9237647"
"goa",2020,2,"1482092","2183616430.016773"
"goa",2020,3,"1915531","3368343580.9446573"
"goa",2020,4,"3801381","6899792747.579928"
"goa",2021,1,"5331549","9757242879.021431"
"goa",2021,2,"4710135","8012853587.075999"
"goa",2021,3,"6467763","10478425592.936367"
"goa",2021,4,"11088759","18627257115.86965"
"goa",2022,1,"12214098","19816445402.846123"
"goa",2022,2,"14216054","22873037759.520226"
"goa",2022,3,"13188687","19574265275.70635"
"goa",2022,4,"17192674","24924986371.339146"
"goa",2023,1,"24195070","35096965775.0"
"goa",2023,2,"26530590","38412206943.0"
"goa",2023,3,"26999728","37375179974.0"
"goa",2023,4,"33460978","44287671557.0"
"goa",2024,1,"35013987","45351900260.0"
"goa",2024,2,"37000806","47454830712.0"
"goa",2024,3,"36762111","45913528012.0"
"goa",2024,4,"46131536","56562589543.0"
"gujarat",2018,1,"5948775","7577982255.034092"
"gujarat",2018,2,"7745733","12162684771.641388"
"gujarat",2018,3,"11334149","17866404426.27552"
"gujarat",2018,4,"14733303","24830987102.78186"
"gujarat",2019,1,"24991451","35856080308.47724"
"gujarat",2019,2,"28981842","49320615219.26732"
"gujarat",2019,3,"38228649","59462694964.26753"
"gujarat",2019,4,"42547632","76690662054.91542"
"gujarat",2020,1,"47326417","86995076621.90231"
"gujarat",2020,2,"47420185","80387846359.49454"
"gujarat",2020,3,"59290179","111921752484.70932"
"gujarat",2020,4,"77828547","148393060112.4366"
"gujarat",2021,1,"94774565","183700780713.44968"
"gujarat",2021,2,"111841396","210162054552.1156"
"gujarat",2021,3,"149248407","272624626113.58765"
"gujarat",2021,4,"182987325","342382580053.62726"
"gujarat",2022,1,"210547146","392548092253.5477"
"gujarat",2022,2,"252052796","446798000976.83795"
"gujarat",2022,3,"303239732","497437502209.44305"
"gujarat",2022,4,"341156018","567918305336.5343"
"gujarat",2023,1,"362511326","597826188806.0"
"gujarat",2023,2,"416922553","645407208525.0"
"gujarat",2023,3,"479303590","707737036450.0"
