"state","district","total_transactions","total_amount"
"haryana","kaithal district","8518","14534919.0"
"madhya-pradesh","betul district","8477","11243571.0"
"telangana","yadadri bhuvanagiri district","8466","11341270.0"
"tamil-nadu","nagapattinam district","8453","12017918.0"
"jharkhand","ramgarh district","8448","12414033.0"
"uttar-pradesh","shahjahanpur district","8439","14059867.0"
"punjab","hoshiarpur district","8362","17098350.0"
"uttar-pradesh","etawah district","8311","13780378.0"
"uttar-pradesh","shamli district","8305","12835940.0"
"maharashtra","sindhudurg district","8256","14639270.0"
"uttar-pradesh","sultanpur district","8109","13391040.0"
"tamil-nadu","tirupathur district","8101","11860710.0"
"uttar-pradesh","rampur district","8081","12833503.0"
"gujarat","anand district","8080","12024507.0"
"rajasthan","sirohi district","8072","12143521.0"
"jammu-&-kashmir","srinagar district","8058","15810175.0"
"tamil-nadu","sivaganga district","7999","11779925.0"
"madhya-pradesh","ratlam district","7986","11263037.0"
"tamil-nadu","karur district","7984","11959443.0"
"chhattisgarh","janjgir champa district","7978","10849035.0"
"uttar-pradesh","unnao district","7952","12675757.0"
"odisha","rayagada district","7871","9888731.0"
"telangana","kamareddy district","7798","8380040.0"
"punjab","pathankot district","7764","14033614.0"
"maharashtra","gondia district","7753","12331509.0"
"andhra-pradesh","tirupati district","7686","11889347.0"
"uttar-pradesh","maharajganj district","7666","11457137.0"
"uttar-pradesh","firozabad district","7633","11775259.0"
"madhya-pradesh","balaghat district","7588","12146413.0"
"tamil-nadu","the nilgiris district","7543","13909058.0"
"assam","dhubri district","7474","10456273.0"
"bihar","saharsa district","7464","8722761.0"
"haryana","fatehabad district","7449","14378180.0"
"gujarat","kheda district","7421","10597650.0"
"west-bengal","malda district","7335","9243254.0"
"uttar-pradesh","mau district","7298","12478877.0"
"uttar-pradesh","hardoi district","7278","11371325.0"
"madhya-pradesh","sehore district","7249","10741283.0"
"uttar-pradesh","baghpat district","7246","12281005.0"
"madhya-pradesh","khargone district","7199","9618245.0"
