"pincode","registered_users"
"495001","327291"
"201318","327083"
"248001","326983"
"244001","326263"
"411033","325347"
"560078","325334"
"500008","325126"
"394210","324796"
"334001","324796"
"121001","324650"
"500055","324513"
"122002","324376"
"110094","324145"
"457001","323988"
"500090","323966"
"560100","323960"
"800006","323960"
"123401","323889"
"500039","323450"
"560043","323435"
"124507","323425"
"455001","323082"
"311001","323050"
"500037","322978"
"505001","322881"
"560058","322689"
"201102","322687"
"500018","322687"
"492001","322356"
"121003","321859"
"560091","321685"
"302001","320984"
"122006","320750"
"110059","320535"
"302020","320466"
"110053","320362"
"332001","320037"
"411046","319916"
"800020","319873"
"395010","319666"
"313001","319637"
"452001","319497"
"452010","319204"
"411014","319102"
"110044","319096"
"123401","318828"
"452010","318679"
"560064","318618"
"421201","318461"
"517501","317981"
"302017","317847"
"324005","317684"
"395006","317597"
"474001","317564"
"122004","317417"
"302029","317257"
"201009","317155"
"482002","317133"
"110096","316906"
"202001","316879"
"301001","316700"
"124001","316660"
"410206","316643"
"121102","316110"
"211002","316051"
"517507","316010"
"506002","315957"
"124507","315922"
"502032","315901"
"396230","315805"
"123401","315215"
"431003","315106"
"410501","314922"
"560079","314654"
"141008","314626"
"110092","314384"
"122002","314298"
"122001","314031"
"110041","314015"
"800006","313810"
"244001","313785"
"560068","313673"
"421301","313660"
"250001","313513"
"457001","313387"
"143001","313340"
"500055","313173"
"560037","313105"
"334001","313023"
"110085","312819"
"247001","312774"
"834001","312393"
"500037","312353"
"302012","312285"
"201307","312146"
"455001","311925"
"500039","311906"
"500008","311735"
"800006","311558"
"400612","311391"
"248001","311271"
"500090","311167"
"462001","310974"
"201318","310735"
"110042","310672"
"492001","310425"
"110086","310419"
"800001","310396"
"394210","309875"
"411033","309834"
"302001","309686"
"500072","309469"
"122006","309366"
"452001","309315"
"302017","309145"
"302020","308962"
"500013","308329"
"800020","308191"
"800006","308163"
"121001","308144"
"313001","308034"
"452010","307754"
"560076","307509"
"452010","307506"
"311001","307471"
"505001","307339"
"500018","307198"
"302015","306967"
"560100","306734"
"123401","306718"
"560043","306658"
"332001","306609"
"121004","306230"
"517501","306201"
"301001","305791"
"560078","305721"
"395010","305674"
"122004","305448"
"110094","305422"
