"state","year","quarter","transactions"
"haryana",2019,1,"22135775"
"haryana",2019,2,"22741816"
"haryana",2019,3,"30343531"
"haryana",2019,4,"37825985"
"haryana",2020,1,"44036087"
"haryana",2020,2,"41781050"
"haryana",2020,3,"57938179"
"haryana",2020,4,"83171439"
"haryana",2021,1,"90252784"
"haryana",2021,2,"105680856"
"haryana",2021,3,"140459693"
"haryana",2021,4,"169686975"
"haryana",2022,1,"191988609"
"haryana",2022,2,"234699962"
"haryana",2022,3,"269361810"
"haryana",2022,4,"296648365"
"haryana",2023,1,"381318464"
"haryana",2023,2,"457536190"
"haryana",2023,3,"501519478"
"haryana",2023,4,"554748233"
"haryana",2024,1,"604293500"
"haryana",2024,2,"738553925"
"haryana",2024,3,"794940220"
"haryana",2024,4,"841394290"
"himachal pradesh",2018,1,"481918"
"himachal pradesh",2018,2,"687695"
"himachal pradesh",2018,3,"886754"
"himachal pradesh",2018,4,"1307883"
"himachal pradesh",2019,1,"2168718"
"himachal pradesh",2019,2,"2502306"
"himachal pradesh",2019,3,"2735180"
"himachal pradesh",2019,4,"3516646"
"himachal pradesh",2020,1,"4144480"
"himachal pradesh",2020,2,"4695730"
"himachal pradesh",2020,3,"5489876"
"himachal pradesh",2020,4,"7272328"
"himachal pradesh",2021,1,"7614029"
"himachal pradesh",2021,2,"9483902"
"himachal pradesh",2021,3,"12064167"
"himachal pradesh",2021,4,"14666864"
"himachal pradesh",2022,1,"16088180"
"himachal pradesh",2022,2,"21291371"
"himachal pradesh",2022,3,"25164868"
"himachal pradesh",2022,4,"28555136"
"himachal pradesh",2023,1,"27301726"
"himachal pradesh",2023,2,"35061595"
"himachal pradesh",2023,3,"33337054"
"himachal pradesh",2023,4,"38651839"
"himachal pradesh",2024,1,"39520561"
"himachal pradesh",2024,2,"52583801"
"himachal pradesh",2024,3,"49737549"
"himachal pradesh",2024,4,"53798398"
"jammu & kashmir",2018,1,"941568"
"jammu & kashmir",2018,2,"1796326"
"jammu & kashmir",2018,3,"2303961"
"jammu & kashmir",2018,4,"2721310"
"jammu & kashmir",2019,1,"3584987"
"jammu & kashmir",2019,2,"2296355"
"jammu & kashmir",2019,3,"1116526"
"jammu & kashmir",2019,4,"489928"
"jammu & kashmir",2020,1,"921630"
"jammu & kashmir",2020,2,"2635006"
"jammu & kashmir",2020,3,"3465898"
"jammu & kashmir",2020,4,"5754444"
"jammu & kashmir",2021,1,"6997570"
"jammu & kashmir",2021,2,"10027819"
"jammu & kashmir",2021,3,"13151041"
"jammu & kashmir",2021,4,"16790628"
"jammu & kashmir",2022,1,"16245311"
"jammu & kashmir",2022,2,"23813747"
"jammu & kashmir",2022,3,"22534394"
"jammu & kashmir",2022,4,"27316158"
"jammu & kashmir",2023,1,"38927244"
"jammu & kashmir",2023,2,"54588299"
"jammu & kashmir",2023,3,"63903579"
"jammu & kashmir",2023,4,"69167132"
"jammu & kashmir",2024,1,"75116355"
"jammu & kashmir",2024,2,"108179014"
"jammu & kashmir",2024,3,"119555288"
"jammu & kashmir",2024,4,"126261217"
"jharkhand",2018,1,"2178921"
"jharkhand",2018,2,"3152080"
"jharkhand",2018,3,"8122621"
"jharkhand",2018,4,"6284043"
"jharkhand",2019,1,"9387708"
"jharkhand",2019,2,"10128211"
"jharkhand",2019,3,"14220647"
"jharkhand",2019,4,"18248618"
"jharkhand",2020,1,"18282713"
"jharkhand",2020,2,"20141511"
"jharkhand",2020,3,"27068473"
"jharkhand",2020,4,"39431633"
"jharkhand",2021,1,"44621663"
"jharkhand",2021,2,"54002145"
"jharkhand",2021,3,"70795702"
"jharkhand",2021,4,"96009042"
"jharkhand",2022,1,"110911210"
"jharkhand",2022,2,"132925275"
"jharkhand",2022,3,"146815332"
"jharkhand",2022,4,"175300092"
"jharkhand",2023,1,"240458103"
"jharkhand",2023,2,"289233893"
"jharkhand",2023,3,"318237426"
"jharkhand",2023,4,"374538362"
"jharkhand",2024,1,"426759095"
"jharkhand",2024,2,"499685871"
"jharkhand",2024,3,"522575883"
"jharkhand",2024,4,"586904686"
"karnataka",2018,1,"12016899"
"karnataka",2018,2,"17116447"
"karnataka",2018,3,"25980261"
"karnataka",2018,4,"44812071"
"karnataka",2019,1,"86587609"
"karnataka",2019,2,"115401604"
"karnataka",2019,3,"170733735"
"karnataka",2019,4,"237796252"
"karnataka",2020,1,"271033890"
"karnataka",2020,2,"213221712"
"karnataka",2020,3,"300360531"
"karnataka",2020,4,"431536984"
"karnataka",2021,1,"523797492"
"karnataka",2021,2,"530649046"
"karnataka",2021,3,"753296539"
"karnataka",2021,4,"931725438"
"karnataka",2022,1,"1057855407"
"karnataka",2022,2,"1277448960"
"karnataka",2022,3,"1189761328"
"karnataka",2022,4,"1378910371"
"karnataka",2023,1,"1844697189"
"karnataka",2023,2,"2067867526"
"karnataka",2023,3,"2369262302"
"karnataka",2023,4,"2564434164"
"karnataka",2024,1,"2796439155"
"karnataka",2024,2,"3042012848"
"karnataka",2024,3,"3261134095"
"karnataka",2024,4,"3455056424"
"kerala",2018,1,"1771380"
"kerala",2018,2,"2308165"
"kerala",2018,3,"3134348"
"kerala",2018,4,"4310654"
"kerala",2019,1,"6469039"
"kerala",2019,2,"7283826"
"kerala",2019,3,"9286096"
"kerala",2019,4,"12498637"
"kerala",2020,1,"15733522"
"kerala",2020,2,"16287967"
"kerala",2020,3,"21758680"
"kerala",2020,4,"33288187"
"kerala",2021,1,"42316342"
"kerala",2021,2,"47191033"
"kerala",2021,3,"63028266"
"kerala",2021,4,"81823741"
