"state","district","total_registrations"
"rajasthan","jhalawar district","7818523"
"west-bengal","jalpaiguri district","7805433"
"gujarat","patan district","7796192"
"telangana","mahbubnagar district","7741853"
"uttar-pradesh","budaun district","7711817"
"bihar","supaul district","7673352"
"odisha","balangir district","7667706"
"uttar-pradesh","sonbhadra district","7653077"
"madhya-pradesh","bhind district","7648543"
"chhattisgarh","korba district","7642093"
"madhya-pradesh","hoshangabad district","7604287"
"haryana","mewat district","7543919"
"rajasthan","karauli district","7541165"
"punjab","fazilka district","7538617"
"tamil-nadu","ranipet district","7518221"
"maharashtra","bhandara district","7452291"
"gujarat","surendranagar district","7422310"
"tamil-nadu","tirupathur district","7358835"
"bihar","saharsa district","7340388"
"telangana","kamareddy district","7315800"
"telangana","nagarkurnool district","7290424"
"madhya-pradesh","shivpuri district","7228630"
"punjab","sangrur district","7206625"
"madhya-pradesh","singrauli district","7124416"
"maharashtra","gondia district","7049251"
"gujarat","sabar kantha district","7025162"
"uttar-pradesh","rampur district","6965998"
"uttar-pradesh","mainpuri district","6913860"
"uttar-pradesh","siddharthnagar district","6903204"
"odisha","bargarh district","6891049"
"karnataka","gadag district","6878137"
"uttar-pradesh","etawah district","6865656"
"odisha","kalahandi district","6862080"
"goa","south goa district","6859851"
"haryana","panchkula district","6856823"
"bihar","madhepura district","6840482"
"uttar-pradesh","amroha district","6835761"
"uttar-pradesh","bara banki district","6822822"
"rajasthan","bundi district","6793046"
"jharkhand","ramgarh district","6793014"
"haryana","kaithal district","6775665"
"madhya-pradesh","narsinghpur district","6761927"
"telangana","vikarabad district","6728069"
"gujarat","morbi district","6727000"
"haryana","fatehabad district","6700218"
"rajasthan","rajsamand district","6669155"
"uttar-pradesh","bahraich district","6628273"
"gujarat","navsari district","6625371"
"assam","nagaon district","6563199"
"uttar-pradesh","amethi district","6542079"
"tamil-nadu","thoothukkudi district","6527477"
"rajasthan","baran district","6505085"
"madhya-pradesh","seoni district","6482596"
"uttar-pradesh","farrukhabad district","6476615"
"uttar-pradesh","jalaun district","6457090"
"uttar-pradesh","pilibhit district","6446378"
"bihar","buxar district","6367389"
"maharashtra","nandurbar district","6361541"
"uttar-pradesh","hathras district","6356610"
"punjab","hoshiarpur district","6351991"
"maharashtra","washim district","6349275"
"kerala","idukki district","6332555"
"uttar-pradesh","fatehpur district","6296538"
"madhya-pradesh","katni district","6256788"
"uttar-pradesh","rae bareli district","6192647"
"himachal-pradesh","shimla district","6189324"
"uttar-pradesh","bhadohi district","6160997"
"odisha","nayagarh district","6158179"
"kerala","pathanamthitta district","6141356"
"rajasthan","sirohi district","6124553"
"tamil-nadu","kallakkurichi district","6091785"
"bihar","munger district","6065263"
"bihar","jamui district","6059959"
"dadra-&-nagar-haveli-&-daman-&-diu","dadra and nagar haveli district","6052290"
"chhattisgarh","rajnandgaon district","6025802"
"madhya-pradesh","shajapur district","5994690"
"uttar-pradesh","etah district","5974526"
"gujarat","junagadh district","5967626"
"assam","barpeta district","5965082"
"telangana","mahabubabad district","5921125"
"telangana","medak district","5919124"
"uttar-pradesh","sambhal district","5902772"
"gujarat","amreli district","5895403"
"maharashtra","hingoli district","5881375"
"bihar","khagaria district","5815381"
"punjab","gurdaspur district","5721500"
"tamil-nadu","theni district","5720167"
"kerala","kasaragod district","5712652"
"madhya-pradesh","neemuch district","5710424"
"assam","cachar district","5702063"
"odisha","jharsuguda district","5650219"
"himachal-pradesh","mandi district","5649017"
"uttar-pradesh","kannauj district","5601305"
"uttar-pradesh","baghpat district","5569633"
"bihar","banka district","5553953"
"tamil-nadu","sivaganga district","5518168"
"odisha","koraput district","5513181"
"maharashtra","chhatrapati sambhaji nagar district","5507262"
"tripura","west tripura district","5494544"
"west-bengal","alipurduar district","5477419"
"tamil-nadu","pudukkottai district","5471007"
"rajasthan","jaisalmer district","5394638"
"telangana","warangal rural district","5387173"
"madhya-pradesh","east nimar district","5385486"
"gujarat","panch mahals district","5381991"
"uttar-pradesh","shamli district","5335901"
