"state","district","registered_users"
"himachal-pradesh","shimla district","139890"
"uttar-pradesh","kheri district","139817"
"madhya-pradesh","hoshangabad district","139812"
"haryana","jhajjar district","139799"
"assam","lakhimpur district","139753"
"telangana","jogulamba gadwal district","139726"
"odisha","rayagada district","139714"
"jharkhand","bokaro district","139675"
"assam","bongaigaon district","139630"
"uttar-pradesh","deoria district","139588"
"chhattisgarh","mahasamund district","139572"
"himachal-pradesh","kangra district","139517"
"maharashtra","gondia district","139401"
"meghalaya","east khasi hills district","139387"
"punjab","fatehgarh sahib district","139335"
"west-bengal","paschim bardhaman district","139310"
"madhya-pradesh","chhindwara district","139301"
"himachal-pradesh","solan district","139300"
"uttar-pradesh","etawah district","139252"
"madhya-pradesh","damoh district","139246"
"assam","dhemaji district","139189"
"odisha","nuapada district","139178"
"madhya-pradesh","shahdol district","139177"
"sikkim","east district","139175"
"gujarat","gir somnath district","139141"
"madhya-pradesh","betul district","139098"
"chhattisgarh","raigarh district","139059"
"kerala","alappuzha district","139046"
"uttar-pradesh","hamirpur district","139019"
"nagaland","dimapur district","139011"
"tamil-nadu","cuddalore district","138966"
"haryana","jind district","138962"
"telangana","adilabad district","138946"
"tamil-nadu","thiruvarur district","138929"
"uttar-pradesh","bahraich district","138923"
"manipur","imphal west district","138892"
"karnataka","shivamogga district","138815"
"assam","goalpara district","138786"
"jammu-&-kashmir","srinagar district","138727"
"chhattisgarh","dhamtari district","138724"
"west-bengal","jalpaiguri district","138687"
"rajasthan","salumber district","138681"
"maharashtra","parbhani district","138597"
"uttarakhand","pithoragarh district","138569"
"madhya-pradesh","ashoknagar district","138555"
"chhattisgarh","jashpur district","138518"
"punjab","moga district","138512"
"haryana","rewari district","138368"
"gujarat","chhotaudepur district","138315"
"telangana","warangal rural district","138279"
"rajasthan","nagaur district","138240"
"gujarat","sabar kantha district","138237"
"bihar","sheikhpura district","138218"
"uttarakhand","pithoragarh district","138218"
"gujarat","surendranagar district","138218"
"jammu-&-kashmir","baramulla district","138215"
"uttar-pradesh","baghpat district","138206"
"odisha","gajapati district","138201"
"jharkhand","latehar district","138173"
"odisha","jagatsinghapur district","138170"
"assam","marigaon district","138147"
"jharkhand","west singhbhum district","138137"
"gujarat","jamnagar district","138108"
"tamil-nadu","kallakkurichi district","138096"
"uttar-pradesh","bulandshahr district","138091"
"rajasthan","jaisalmer district","138087"
"karnataka","haveri district","138074"
"tamil-nadu","madurai district","138064"
"rajasthan","jhalawar district","138059"
"maharashtra","wardha district","137995"
"himachal-pradesh","bilaspur district","137989"
"madhya-pradesh","umaria district","137969"
"assam","nalbari district","137930"
"uttar-pradesh","balrampur district","137921"
"chhattisgarh","balrampur district","137822"
"rajasthan","dudu district","137748"
"karnataka","chikkaballapura district","137719"
"assam","dhubri district","137698"
"punjab","gurdaspur district","137571"
"rajasthan","dungarpur district","137559"
"odisha","dhenkanal district","137527"
"gujarat","mahisagar district","137511"
"madhya-pradesh","dhar district","137501"
"rajasthan","jalore district","137453"
"punjab","barnala district","137434"
"madhya-pradesh","sidhi district","137421"
"uttar-pradesh","mahoba district","137382"
"jharkhand","jamtara district","137308"
"uttar-pradesh","firozabad district","137236"
"haryana","charkhi dadri district","137231"
"chhattisgarh","surguja district","137221"
"punjab","tarn taran district","137220"
"tripura","west tripura district","137156"
"maharashtra","hingoli district","137153"
"uttarakhand","nainital district","137114"
"chhattisgarh","mungeli district","137103"
"telangana","mulugu district","137092"
"bihar","jehanabad district","137074"
"haryana","fatehabad district","137065"
"uttar-pradesh","sultanpur district","137062"
"bihar","arwal district","137028"
"bihar","lakhisarai district","136992"
"uttar-pradesh","amethi district","136952"
"gujarat","devbhumi dwarka district","136943"
"uttar-pradesh","sant kabeer nagar district","136932"
"jharkhand","saraikela kharsawan district","136923"
"punjab","pathankot district","136917"
"madhya-pradesh","rajgarh district","136848"
"assam","kamrup district","136799"
"uttar-pradesh","chandauli district","136786"
"tamil-nadu","virudhunagar district","136782"
"maharashtra","amravati district","136760"
"odisha","bargarh district","136729"
"tamil-nadu","nagapattinam district","136672"
"punjab","faridkot district","136663"
"himachal-pradesh","bilaspur district","136648"
"jharkhand","garhwa district","136634"
"karnataka","udupi district","136628"
"tamil-nadu","thanjavur district","136597"
"west-bengal","howrah district","136589"
"madhya-pradesh","barwani district","136583"
"haryana","kaithal district","136563"
"rajasthan","churu district","136526"
"telangana","jaya shankar bhalupally district","136483"
"gujarat","valsad district","136470"
"kerala","kozhikode district","136469"
"west-bengal","nadia district","136396"
"odisha","nabarangpur district","136384"
"uttarakhand","tehri garhwal district","136364"
"arunachal-pradesh","papum pare district","136357"
"uttar-pradesh","kaushambi district","136353"
"tamil-nadu","kancheepuram district","136352"
"jharkhand","godda district","136332"
"uttar-pradesh","ayodhya district","136314"
"assam","sivasagar district","136241"
"tamil-nadu","karur district","136196"
"tamil-nadu","tirunelveli district","136178"
"uttar-pradesh","auraiya district","136156"
"assam","baksa district","136080"
"chhattisgarh","bemetara district","136066"
"uttar-pradesh","etah district","136054"
"haryana","ambala district","136012"
"tamil-nadu","perambalur district","135997"
"dadra-&-nagar-haveli-&-daman-&-diu","daman district","135976"
"odisha","cuttack district","135972"
"punjab","jalandhar district","135966"
"madhya-pradesh","pandhurna district","135924"
"gujarat","botad district","135845"
"maharashtra","latur district","135843"
"tamil-nadu","viluppuram district","135787"
"uttar-pradesh","mainpuri district","135739"
"assam","karimganj district","135721"
"himachal-pradesh","hamirpur district","135670"
"telangana","jangaon district","135637"
"gujarat","aravallis district","135616"
"telangana","kumuram bheem asifabad district","135588"
"punjab","firozepur district","135570"
"telangana","mahbubnagar district","135546"
"odisha","sambalpur district","135529"
"assam","barpeta district","135525"
"himachal-pradesh","chamba district","135482"
"chhattisgarh","surajpur district","135353"
"telangana","khammam district","135353"
"chhattisgarh","raipur district","135308"
"gujarat","tapi district","135297"
"odisha","kandhamal district","135276"
"jammu-&-kashmir","poonch district","135233"
"assam","jorhat district","135179"
"rajasthan","rajsamand district","135151"
"punjab","sri muktsar sahib district","135088"
"assam","darrang district","135028"
"odisha","nayagarh district","135006"
"uttar-pradesh","ambedkar nagar district","134984"
"chhattisgarh","korea district","134912"
"madhya-pradesh","sheopur district","134878"
"himachal-pradesh","sirmaur district","134870"
"madhya-pradesh","dindori district","134860"
"meghalaya","west garo hills district","134833"
"madhya-pradesh","neemuch district","134827"
"chhattisgarh","kabirdham district","134783"
"uttarakhand","almora district","134730"
"telangana","nalgonda district","134723"
"uttar-pradesh","shamli district","134703"
"madhya-pradesh","shivpuri district","134692"
"punjab","rupnagar district","134686"
"bihar","samastipur district","134680"
"uttar-pradesh","rae bareli district","134591"
"uttar-pradesh","maharajganj district","134589"
"madhya-pradesh","panna district","134571"
"uttar-pradesh","kasganj district","134535"
"gujarat","bharuch district","134500"
"rajasthan","tonk district","134480"
"jharkhand","ramgarh district","134423"
"jammu-&-kashmir","jammu district","134408"
"haryana","panchkula district","134405"
"meghalaya","east khasi hills district","134378"
"madhya-pradesh","niwari district","134371"
"assam","dibrugarh district","134339"
"kerala","malappuram district","134338"
"madhya-pradesh","narsinghpur district","134332"
"bihar","kishanganj district","134304"
"chhattisgarh","baloda bazar district","134301"
"rajasthan","jhunjhunu district","134221"
"uttarakhand","pithoragarh district","134196"
"assam","lakhimpur district","134167"
"chhattisgarh","bastar district","134164"
"telangana","nirmal district","134124"
"himachal-pradesh","bilaspur district","134086"
"tamil-nadu","ariyalur district","134075"
"assam","tinsukia district","134067"
"assam","dhemaji district","134064"
"assam","sonitpur district","134006"
"rajasthan","sikar district","133983"
"maharashtra","bhandara district","133936"
"west-bengal","jhargram district","133927"
"uttar-pradesh","rampur district","133897"
"jharkhand","lohardaga district","133888"
"madhya-pradesh","satna district","133865"
"chhattisgarh","kanker district","133857"
"telangana","warangal urban district","133840"
"uttar-pradesh","mirzapur district","133781"
"uttar-pradesh","chitrakoot district","133739"
"madhya-pradesh","burhanpur district","133678"
"jharkhand","dumka district","133647"
"madhya-pradesh","datia district","133518"
"assam","bongaigaon district","133489"
"uttarakhand","pauri garhwal district","133484"
"bihar","khagaria district","133468"
"rajasthan","barmer district","133426"
"jharkhand","sahebganj district","133412"
"bihar","buxar district","133361"
"madhya-pradesh","seoni district","133334"
"telangana","mahabubabad district","133329"
"odisha","sonepur district","133295"
"rajasthan","sawai madhopur district","133291"
"rajasthan","baran district","133269"
"himachal-pradesh","una district","133249"
"goa","south goa district","133161"
"sikkim","east district","133152"
"punjab","mansa district","133151"
"jharkhand","latehar district","133149"
"odisha","nuapada district","133129"
"assam","golaghat district","133110"
"chhattisgarh","balrampur district","133080"
"gujarat","rajkot district","133017"
"jharkhand","chatra district","133013"
"madhya-pradesh","mandla district","132963"
"gujarat","dohad district","132954"
"maharashtra","nanded district","132935"
"karnataka","raichur district","132914"
"tamil-nadu","the nilgiris district","132909"
"odisha","gajapati district","132903"
"madhya-pradesh","agar malwa district","132817"
"telangana","narayanpet district","132812"
"bihar","darbhanga district","132803"
"uttar-pradesh","siddharthnagar district","132802"
"karnataka","hassan district","132797"
"uttar-pradesh","gorakhpur district","132769"
"haryana","kurukshetra district","132749"
"rajasthan","pratapgarh district","132722"
"uttar-pradesh","amroha district","132719"
"madhya-pradesh","harda district","132707"
"haryana","sonipat district","132705"
"puducherry","puducherry district","132703"
"himachal-pradesh","kullu district","132702"
"uttar-pradesh","mau district","132663"
"chhattisgarh","manendragarh chirmiri bharatpur district","132662"
"jharkhand","koderma district","132641"
"maharashtra","beed district","132639"
"jharkhand","deoghar district","132603"
"bihar","sheikhpura district","132582"
"punjab","fazilka district","132573"
"assam","nalbari district","132565"
"madhya-pradesh","raisen district","132559"
"uttarakhand","udham singh nagar district","132549"
"jammu-&-kashmir","baramulla district","132526"
"bihar","sitamarhi district","132501"
"uttar-pradesh","lalitpur district","132483"
"chhattisgarh","balod district","132353"
"uttar-pradesh","gonda district","132341"
"punjab","shaheed bhagat singh nagar district","132341"
"uttarakhand","pithoragarh district","132323"
"tamil-nadu","erode district","132294"
"odisha","boudh district","132252"
"chhattisgarh","mungeli district","132207"
"madhya-pradesh","jhabua district","132178"
"punjab","barnala district","132133"
"haryana","bhiwani district","132014"
"assam","marigaon district","131985"
"west-bengal","dakshin dinajpur district","131963"
"bihar","munger district","131943"
"manipur","imphal west district","131901"
"madhya-pradesh","umaria district","131892"
"uttar-pradesh","sonbhadra district","131881"
"chhattisgarh","korba district","131850"
"tamil-nadu","dindigul district","131833"
"telangana","rajanna sircilla district","131832"
"rajasthan","pali district","131779"
"tamil-nadu","dharmapuri district","131769"
"uttar-pradesh","bhadohi district","131750"
"nagaland","dimapur district","131738"
"west-bengal","purulia district","131658"
"madhya-pradesh","katni district","131655"
"uttar-pradesh","kanpur dehat district","131597"
"tamil-nadu","namakkal district","131560"
"gujarat","mahisagar district","131554"
"gujarat","porbandar district","131548"
"uttar-pradesh","mahoba district","131487"
"bihar","arwal district","131472"
"gujarat","navsari district","131460"
"chhattisgarh","bemetara district","131384"
"uttar-pradesh","pilibhit district","131381"
"west-bengal","purba medinipur district","131380"
"assam","goalpara district","131350"
"tamil-nadu","thoothukkudi district","131336"
"punjab","kapurthala district","131323"
"bihar","madhepura district","131288"
"uttar-pradesh","shahjahanpur district","131285"
"telangana","medak district","131276"
"telangana","suryapet district","131272"
"bihar","bhagalpur district","131270"
"odisha","nabarangpur district","131269"
"karnataka","uttara kannada district","131243"
"himachal-pradesh","bilaspur district","131239"
"telangana","mulugu district","131237"
"uttar-pradesh","banda district","131226"
"haryana","charkhi dadri district","131203"
"jammu-&-kashmir","budgam district","131188"
"bihar","supaul district","131141"
"telangana","mancherial district","131128"
"madhya-pradesh","anuppur district","131119"
"chhattisgarh","jashpur district","131014"
"west-bengal","koch bihar district","131010"
"karnataka","bidar district","131005"
"madhya-pradesh","morena district","130988"
"jammu-&-kashmir","srinagar district","130968"
"jammu-&-kashmir","kulgam district","130940"
"maharashtra","sindhudurg district","130919"
"rajasthan","dholpur district","130882"
"assam","hojai district","130781"
"jammu-&-kashmir","poonch district","130759"
"gujarat","devbhumi dwarka district","130591"
"bihar","saharsa district","130556"
"chhattisgarh","dhamtari district","130540"
"uttar-pradesh","jalaun district","130530"
"assam","sivasagar district","130487"
"gujarat","morbi district","130472"
"madhya-pradesh","tikamgarh district","130462"
"uttar-pradesh","hapur district","130436"
"telangana","jagtial district","130387"
"arunachal-pradesh","papum pare district","130306"
"odisha","sundargarh district","130288"
"assam","baksa district","130264"
"dadra-&-nagar-haveli-&-daman-&-diu","dadra and nagar haveli district","130255"
"punjab","fatehgarh sahib district","130248"
"gujarat","junagadh district","130231"
"jharkhand","dhanbad district","130195"
"telangana","yadadri bhuvanagiri district","130181"
"bihar","begusarai district","130175"
"punjab","faridkot district","130147"
"tamil-nadu","perambalur district","130138"
"himachal-pradesh","chamba district","130138"
"rajasthan","karauli district","130123"
"chhattisgarh","janjgir champa district","130114"
"odisha","balangir district","130092"
"karnataka","gadag district","129976"
"madhya-pradesh","dindori district","129907"
"uttarakhand","almora district","129898"
"rajasthan","sirohi district","129859"
"tamil-nadu","theni district","129850"
"jharkhand","jamtara district","129831"
"gujarat","panch mahals district","129831"
"telangana","wanaparthy district","129768"
"madhya-pradesh","dewas district","129719"
"assam","darrang district","129710"
"punjab","hoshiarpur district","129693"
"rajasthan","banswara district","129685"
"maharashtra","washim district","129675"
"maharashtra","jalna district","129656"
"haryana","mewat district","129646"
"punjab","moga district","129617"
"chhattisgarh","mahasamund district","129536"
"maharashtra","gadchiroli district","129535"
"tamil-nadu","thiruvarur district","129468"
"tamil-nadu","tiruvannamalai district","129411"
"rajasthan","dausa district","129378"
"assam","nagaon district","129371"
"maharashtra","yavatmal district","129352"
"bihar","siwan district","129337"
"madhya-pradesh","niwari district","129271"
"meghalaya","east khasi hills district","129260"
"odisha","kalahandi district","129224"
"odisha","kandhamal district","129217"
"assam","cachar district","129067"
"meghalaya","west garo hills district","129037"
"madhya-pradesh","guna district","129027"
"tamil-nadu","tirupathur district","129026"
"karnataka","chamarajanagara district","128971"
"uttar-pradesh","hamirpur district","128958"
"andhra-pradesh","vizianagaram district","128905"
"madhya-pradesh","sheopur district","128883"
"telangana","vikarabad district","128847"
"tamil-nadu","krishnagiri district","128769"
"maharashtra","nandurbar district","128739"
"bihar","banka district","128702"
"madhya-pradesh","mandsaur district","128631"
"assam","dhubri district","128621"
"gujarat","porbandar district","128617"
"assam","karimganj district","128589"
"madhya-pradesh","ashoknagar district","128579"
"gujarat","patan district","128573"
"tamil-nadu","tiruppur district","128535"
"uttar-pradesh","azamgarh district","128477"
"bihar","nalanda district","128472"
"punjab","tarn taran district","128419"
"madhya-pradesh","singrauli district","128398"
"odisha","kendrapara district","128331"
"madhya-pradesh","sagar district","128283"
"assam","dhemaji district","128232"
"haryana","yamunanagar district","128212"
"telangana","adilabad district","128184"
"telangana","kumuram bheem asifabad district","128148"
"chhattisgarh","surajpur district","128121"
"odisha","nuapada district","128118"
"punjab","bathinda district","128070"
"gujarat","kachchh district","128064"
"bihar","sheikhpura district","128000"
"madhya-pradesh","vidisha district","127894"
"uttarakhand","tehri garhwal district","127893"
"chhattisgarh","korea district","127890"
"haryana","sirsa district","127874"
"punjab","shaheed bhagat singh nagar district","127864"
"odisha","jharsuguda district","127804"
"chhattisgarh","manendragarh chirmiri bharatpur district","127746"
"tamil-nadu","ramanathapuram district","127682"
"chhattisgarh","kabirdham district","127669"
"uttar-pradesh","balrampur district","127631"
"uttar-pradesh","hathras district","127615"
"gujarat","mahesana district","127614"
"haryana","mahendragarh district","127605"
"karnataka","chitradurga district","127578"
"uttar-pradesh","chitrakoot district","127573"
"uttarakhand","pithoragarh district","127530"
"bihar","kaimur bhabua district","127488"
"uttar-pradesh","farrukhabad district","127474"
"jharkhand","west singhbhum district","127433"
"rajasthan","dungarpur district","127350"
"punjab","sangrur district","127329"
"jharkhand","latehar district","127321"
"chhattisgarh","balrampur district","127318"
"assam","lakhimpur district","127316"
"odisha","gajapati district","127250"
"karnataka","mandya district","127238"
"assam","bongaigaon district","127238"
"west-bengal","paschim medinipur district","127203"
"gujarat","tapi district","127186"
"karnataka","kodagu district","127160"
"delhi","north east district","127159"
"odisha","boudh district","127155"
"uttar-pradesh","basti district","127063"
"madhya-pradesh","sidhi district","127036"
"madhya-pradesh","ratlam district","127023"
"assam","nalbari district","126977"
"bihar","jehanabad district","126924"
"tamil-nadu","salem district","126830"
"punjab","barnala district","126808"
"bihar","lakhisarai district","126770"
"himachal-pradesh","hamirpur district","126753"
"chhattisgarh","rajnandgaon district","126699"
"uttar-pradesh","kannauj district","126696"
"tamil-nadu","vellore district","126690"
"sikkim","east district","126666"
"uttar-pradesh","kaushambi district","126637"
"odisha","koraput district","126636"
"jammu-&-kashmir","kulgam district","126610"
"telangana","jaya shankar bhalupally district","126605"
"telangana","nagarkurnool district","126599"
"telangana","jogulamba gadwal district","126584"
"chhattisgarh","mungeli district","126582"
"telangana","kamareddy district","126537"
"rajasthan","bundi district","126513"
"gujarat","narmada district","126509"
"gujarat","porbandar district","126509"
"gujarat","amreli district","126423"
"bihar","gaya district","126422"
"odisha","rayagada district","126410"
"uttar-pradesh","hardoi district","126364"
"bihar","araria district","126320"
"gujarat","botad district","126302"
"dadra-&-nagar-haveli-&-daman-&-diu","daman district","126258"
"jharkhand","sahebganj district","126207"
"jharkhand","hazaribagh district","126167"
"odisha","ganjam district","126158"
"jammu-&-kashmir","budgam district","126146"
"telangana","karimnagar district","126122"
"madhya-pradesh","khargone district","126108"
"jammu-&-kashmir","baramulla district","126067"
"madhya-pradesh","damoh district","126047"
"odisha","sonepur district","125997"
"uttar-pradesh","saharanpur district","125990"
"madhya-pradesh","sehore district","125974"
"telangana","mulugu district","125966"
"madhya-pradesh","umaria district","125957"
"uttar-pradesh","unnao district","125933"
"jharkhand","godda district","125926"
"tamil-nadu","ariyalur district","125914"
"bihar","purbi champaran district","125890"
"gujarat","banas kantha district","125849"
"uttar-pradesh","sitapur district","125826"
"bihar","arwal district","125818"
"madhya-pradesh","rewa district","125803"
"gujarat","gir somnath district","125777"
"himachal-pradesh","bilaspur district","125771"
"madhya-pradesh","panna district","125727"
"kerala","kollam district","125697"
"telangana","warangal rural district","125617"
"punjab","firozepur district","125577"
"assam","hojai district","125540"
"punjab","rupnagar district","125466"
"tamil-nadu","sivaganga district","125461"
"madhya-pradesh","barwani district","125456"
"punjab","sri muktsar sahib district","125454"
"madhya-pradesh","chhatarpur district","125453"
"chhattisgarh","kanker district","125415"
"tamil-nadu","kanniyakumari district","125378"
"uttar-pradesh","sambhal district","125328"
"bihar","muzaffarpur district","125298"
"jharkhand","garhwa district","125297"
"madhya-pradesh","east nimar district","125273"
"assam","jorhat district","125247"
"madhya-pradesh","shahdol district","125221"
"himachal-pradesh","una district","125192"
"chhattisgarh","bastar district","125186"
"bihar","gopalganj district","125180"
"uttar-pradesh","bara banki district","125166"
"madhya-pradesh","agar malwa district","125155"
"manipur","imphal west district","125131"
"rajasthan","pratapgarh district","125125"
"gujarat","mahisagar district","125105"
"chhattisgarh","bemetara district","125096"
"assam","marigaon district","125094"
"tamil-nadu","tenkasi district","125008"
"punjab","pathankot district","124994"
"himachal-pradesh","mandi district","124971"
"himachal-pradesh","shimla district","124960"
"bihar","pashchim champaran district","124955"
"tamil-nadu","perambalur district","124952"
"assam","kamrup district","124944"
"uttarakhand","chamoli district","124901"
"odisha","puri district","124859"
"odisha","nabarangpur district","124828"
"himachal-pradesh","sirmaur district","124764"
"assam","sivasagar district","124732"
"assam","kamrup metropolitan district","124720"
"maharashtra","gondia district","124708"
"west-bengal","alipurduar district","124685"
"bihar","katihar district","124680"
"nagaland","dimapur district","124644"
"odisha","anugul district","124644"
"madhya-pradesh","shajapur district","124615"
"gujarat","kheda district","124598"
"karnataka","vijayapura district","124561"
"tripura","west tripura district","124538"
"gujarat","porbandar district","124533"
"madhya-pradesh","harda district","124528"
"chhattisgarh","durg district","124515"
"jharkhand","saraikela kharsawan district","124479"
"assam","kokrajhar district","124463"
"himachal-pradesh","chamba district","124457"
"uttar-pradesh","mahoba district","124427"
"assam","golaghat district","124410"
"telangana","mulugu district","124401"
"madhya-pradesh","balaghat district","124374"
"haryana","rohtak district","124365"
"uttar-pradesh","moradabad district","124336"
"haryana","charkhi dadri district","124320"
"gujarat","chhotaudepur district","124295"
"haryana","panipat district","124290"
"madhya-pradesh","datia district","124227"
"chhattisgarh","balod district","124200"
"telangana","peddapalle district","124191"
"meghalaya","east khasi hills district","124181"
"uttar-pradesh","mathura district","124162"
"uttar-pradesh","chandauli district","124160"
"haryana","fatehabad district","124153"
"punjab","mansa district","124152"
"assam","darrang district","124149"
"west-bengal","jhargram district","124122"
"jharkhand","dumka district","124101"
"arunachal-pradesh","papum pare district","124095"
"chhattisgarh","surguja district","124081"
"himachal-pradesh","kullu district","124078"
"assam","baksa district","124070"
"assam","tinsukia district","124067"
"madhya-pradesh","dindori district","123961"
"jammu-&-kashmir","kathua district","123907"
"uttarakhand","pauri garhwal district","123892"
"jharkhand","giridih district","123889"
"madhya-pradesh","hoshangabad district","123858"
"uttarakhand","almora district","123856"
"bihar","aurangabad district","123845"
"assam","goalpara district","123781"
"odisha","dhenkanal district","123780"
"gujarat","sabar kantha district","123754"
"uttar-pradesh","jhansi district","123717"
"telangana","narayanpet district","123698"
"uttar-pradesh","meerut district","123619"
"jharkhand","palamu district","123609"
"gujarat","devbhumi dwarka district","123599"
"bihar","nawada district","123544"
"uttar-pradesh","kasganj district","123544"
"odisha","kandhamal district","123544"
"madhya-pradesh","bhind district","123531"
"madhya-pradesh","burhanpur district","123507"
"jharkhand","chatra district","123490"
"punjab","faridkot district","123441"
"bihar","saran district","123407"
"assam","dhemaji district","123363"
"haryana","kaithal district","123358"
"jharkhand","koderma district","123296"
"uttar-pradesh","fatehpur district","123288"
"madhya-pradesh","mandla district","123283"
"madhya-pradesh","jhabua district","123245"
"tamil-nadu","ranipet district","123211"
"jammu-&-kashmir","reasi district","123164"
"rajasthan","jaisalmer district","123119"
"bihar","madhubani district","123044"
"bihar","sheikhpura district","122989"
"madhya-pradesh","betul district","122961"
"west-bengal","jalpaiguri district","122923"
"madhya-pradesh","sheopur district","122856"
"jammu-&-kashmir","srinagar district","122752"
"telangana","siddipet district","122741"
"gujarat","aravallis district","122687"
"bihar","jamui district","122675"
"telangana","jangaon district","122645"
"jharkhand","latehar district","122612"
"rajasthan","bharatpur district","122606"
"uttar-pradesh","sultanpur district","122590"
"maharashtra","ratnagiri district","122555"
"tamil-nadu","the nilgiris district","122548"
"odisha","nuapada district","122535"
"gujarat","surendranagar district","122518"
"uttar-pradesh","sant kabeer nagar district","122481"
"tamil-nadu","pudukkottai district","122447"
"uttar-pradesh","auraiya district","122400"
"chhattisgarh","jashpur district","122371"
"punjab","kapurthala district","122367"
"chhattisgarh","dhamtari district","122349"
"karnataka","koppal district","122344"
"chhattisgarh","mungeli district","122300"
"uttarakhand","pithoragarh district","122297"
"kerala","idukki district","122253"
"madhya-pradesh","rajgarh district","122223"
"bihar","vaishali district","122105"
"assam","nalbari district","122081"
"kerala","kottayam district","121975"
"uttar-pradesh","lalitpur district","121961"
"haryana","jind district","121923"
"west-bengal","uttar dinajpur district","121918"
"uttar-pradesh","etawah district","121909"
"uttar-pradesh","ambedkar nagar district","121880"
"odisha","gajapati district","121770"
"rajasthan","jalore district","121750"
"uttar-pradesh","pratapgarh district","121687"
"gujarat","narmada district","121653"
"jharkhand","jamtara district","121635"
"rajasthan","jhalawar district","121605"
"karnataka","yadgir district","121589"
"chhattisgarh","gariyaband district","121580"
"uttar-pradesh","chitrakoot district","121558"
"gujarat","jamnagar district","121494"
"assam","bongaigaon district","121477"
"maharashtra","akola district","121472"
"haryana","karnal district","121471"
"assam","sonitpur district","121435"
"uttar-pradesh","muzaffarnagar district","121370"
"odisha","malkangiri district","121348"
"punjab","barnala district","121339"
"kerala","kasaragod district","121264"
"chhattisgarh","balrampur district","121253"
"uttar-pradesh","baghpat district","121201"
"assam","karimganj district","121183"
"west-bengal","darjiling district","121183"
"gujarat","porbandar district","121178"
"jammu-&-kashmir","reasi district","121141"
"punjab","sas nagar district","121113"
"jammu-&-kashmir","budgam district","121095"
"madhya-pradesh","anuppur district","121081"
"karnataka","bengaluru rural district","121048"
"assam","dibrugarh district","121028"
"goa","north goa district","121001"
"uttar-pradesh","banda district","120914"
"manipur","imphal east district","120912"
"punjab","fatehgarh sahib district","120891"
"madhya-pradesh","narsinghpur district","120875"
"telangana","mulugu district","120852"
"uttar-pradesh","shamli district","120773"
"odisha","sambalpur district","120726"
"madhya-pradesh","tikamgarh district","120720"
"telangana","mulugu district","120696"
"telangana","nizamabad district","120650"
"haryana","panchkula district","120567"
"uttar-pradesh","budaun district","120524"
"karnataka","davanagere district","120506"
"uttar-pradesh","sonbhadra district","120480"
"punjab","malerkotla district","120414"
"jharkhand","gumla district","120406"
"sikkim","east district","120360"
"himachal-pradesh","bilaspur district","120345"
"karnataka","haveri district","120318"
"kerala","wayanad district","120305"
"telangana","kumuram bheem asifabad district","120270"
"uttarakhand","chamoli district","120266"
"assam","lakhimpur district","120220"
"assam","hojai district","120199"
"maharashtra","wardha district","120193"
"punjab","moga district","120168"
"madhya-pradesh","umaria district","120128"
"bihar","arwal district","120018"
"chhattisgarh","korea district","120005"
"uttar-pradesh","amethi district","119989"
"tamil-nadu","viluppuram district","119969"
"bihar","sheohar district","119955"
"rajasthan","chittorgarh district","119954"
"chhattisgarh","surajpur district","119950"
"maharashtra","chandrapur district","119898"
"punjab","shahid bhagat singh nagar district","119878"
"telangana","rajanna sircilla district","119857"
"goa","south goa district","119833"
"assam","kokrajhar district","119832"
"jharkhand","ramgarh district","119804"
"telangana","mahabubabad district","119715"
"odisha","mayurbhanj district","119705"
"chhattisgarh","kabirdham district","119692"
"telangana","nirmal district","119692"
"tamil-nadu","tiruchirappalli district","119661"
"madhya-pradesh","dindori district","119625"
"odisha","bargarh district","119622"
"assam","dhubri district","119554"
"maharashtra","hingoli district","119554"
"gujarat","chhotaudepur district","119543"
"chhattisgarh","korba district","119540"
"rajasthan","baran district","119534"
"assam","charaideo district","119529"
"west-bengal","purba bardhaman district","119528"
"maharashtra","osmanabad district","119476"
"jammu-&-kashmir","baramulla district","119475"
"karnataka","chikkamagaluru district","119458"
"rajasthan","hanumangarh district","119418"
"chhattisgarh","bilaspur district","119415"
"uttar-pradesh","mau district","119403"
"jammu-&-kashmir","kathua district","119369"
"bihar","bhojpur district","119262"
"jharkhand","sahebganj district","119193"
"madhya-pradesh","seoni district","119177"
"uttar-pradesh","rae bareli district","119176"
"bihar","munger district","119068"
"uttarakhand","tehri garhwal district","119032"
"tamil-nadu","nagapattinam district","119011"
"himachal-pradesh","chamba district","118985"
"meghalaya","east khasi hills district","118978"
"assam","sivasagar district","118956"
"assam","udalguri district","118951"
"tamil-nadu","kallakkurichi district","118948"
"maharashtra","bhandara district","118943"
"punjab","tarn taran district","118896"
"bihar","buxar district","118875"
"uttarakhand","nainital district","118824"
"bihar","kishanganj district","118814"
"tamil-nadu","perambalur district","118807"
"uttar-pradesh","mirzapur district","118790"
"uttarakhand","chamoli district","118782"
"jammu-&-kashmir","anantnag district","118778"
"tamil-nadu","thiruvarur district","118770"
"madhya-pradesh","singrauli district","118756"
"gujarat","tapi district","118730"
"punjab","fazilka district","118707"
"uttar-pradesh","bahraich district","118691"
"tamil-nadu","karur district","118636"
"chhattisgarh","bemetara district","118600"
"kerala","palakkad district","118587"
"assam","karbi anglong district","118573"
"rajasthan","ganganagar district","118537"
"rajasthan","ajmer district","118458"
"gujarat","dohad district","118431"
"gujarat","mahisagar district","118430"
"assam","darrang district","118372"
