"state","district","registered_users"
"gujarat","surat district","3385398"
"andhra-pradesh","guntur district","3382454"
"west-bengal","kolkata district","3380214"
"telangana","hyderabad district","3379663"
"uttar-pradesh","ghaziabad district","3364054"
"maharashtra","nashik district","3350410"
"maharashtra","nagpur district","3346275"
"madhya-pradesh","indore district","3336262"
"bihar","patna district","3335655"
"andhra-pradesh","chittoor district","3335024"
"maharashtra","nagpur district","3331958"
"andhra-pradesh","east godavari district","3329036"
"tamil-nadu","chennai district","3324538"
"telangana","rangareddy district","3310906"
"uttar-pradesh","lucknow district","3309599"
"maharashtra","mumbai suburban district","3304696"
"telangana","medchal malkajgiri district","3297882"
"andhra-pradesh","krishna district","3291814"
"uttar-pradesh","gautam buddha nagar district","3286371"
"west-bengal","kolkata district","3279239"
"haryana","gurugram district","3251792"
"andhra-pradesh","guntur district","3251121"
"uttar-pradesh","ghaziabad district","3240845"
"andhra-pradesh","visakhapatnam district","3226029"
"maharashtra","nagpur district","3225345"
"bihar","patna district","3224750"
"west-bengal","north twenty four parganas district","3224459"
"maharashtra","nashik district","3223873"
"madhya-pradesh","indore district","3217251"
"andhra-pradesh","chittoor district","3214678"
"andhra-pradesh","east godavari district","3211557"
"gujarat","surat district","3210535"
"gujarat","ahmadabad district","3209841"
"tamil-nadu","chennai district","3205005"
"uttar-pradesh","lucknow district","3186571"
"rajasthan","jaipur district","3182014"
"andhra-pradesh","krishna district","3177643"
"karnataka","bengaluru urban district","3167597"
"west-bengal","kolkata district","3159912"
"telangana","hyderabad district","3142385"
"telangana","medchal malkajgiri district","3138387"
"andhra-pradesh","guntur district","3137289"
"maharashtra","thane district","3135101"
"uttar-pradesh","gautam buddha nagar district","3130224"
"uttar-pradesh","ghaziabad district","3120359"
"bihar","patna district","3102247"
"maharashtra","nagpur district","3102070"
"tamil-nadu","chennai district","3098864"
"madhya-pradesh","indore district","3098089"
"telangana","rangareddy district","3097973"
"andhra-pradesh","chittoor district","3089391"
"haryana","gurugram district","3088176"
"maharashtra","nashik district","3086721"
"andhra-pradesh","east godavari district","3082893"
"uttar-pradesh","lucknow district","3079592"
"andhra-pradesh","visakhapatnam district","3061324"
"maharashtra","mumbai suburban district","3060916"
"andhra-pradesh","krishna district","3054956"
"west-bengal","kolkata district","3053050"
"west-bengal","north twenty four parganas district","3043008"
"maharashtra","pune district","3038402"
"gujarat","surat district","3026960"
"uttar-pradesh","ghaziabad district","3015494"
"andhra-pradesh","guntur district","3014655"
"gujarat","ahmadabad district","2999575"
"madhya-pradesh","indore district","2996261"
"maharashtra","nagpur district","2995471"
"bihar","patna district","2988174"
"tamil-nadu","chennai district","2987502"
"andhra-pradesh","chittoor district","2981337"
"uttar-pradesh","gautam buddha nagar district","2973360"
"telangana","medchal malkajgiri district","2969740"
"rajasthan","jaipur district","2966508"
"uttar-pradesh","lucknow district","2965623"
"andhra-pradesh","east godavari district","2965296"
"maharashtra","nashik district","2948824"
"delhi","west district","2945032"
"andhra-pradesh","krishna district","2941585"
"west-bengal","kolkata district","2941189"
"haryana","gurugram district","2929873"
"telangana","rangareddy district","2906635"
"uttar-pradesh","ghaziabad district","2904454"
"andhra-pradesh","guntur district","2900895"
"andhra-pradesh","visakhapatnam district","2888774"
"tamil-nadu","thiruvallur district","2888323"
"tamil-nadu","chennai district","2885933"
"madhya-pradesh","indore district","2883610"
"maharashtra","nagpur district","2882255"
"maharashtra","thane district","2878073"
"telangana","hyderabad district","2875965"
"andhra-pradesh","chittoor district","2865250"
"uttar-pradesh","lucknow district","2858255"
"bihar","patna district","2854738"
"west-bengal","north twenty four parganas district","2852030"
"maharashtra","mumbai suburban district","2843378"
"west-bengal","kolkata district","2838411"
"delhi","west district","2837958"
"andhra-pradesh","east godavari district","2835087"
"gujarat","surat district","2830392"
"uttar-pradesh","gautam buddha nagar district","2822463"
"andhra-pradesh","krishna district","2813645"
"maharashtra","nashik district","2803471"
"uttar-pradesh","ghaziabad district","2798185"
"maharashtra","chhatrapati sambhaji nagar district","2797934"
"telangana","medchal malkajgiri district","2790387"
"gujarat","ahmadabad district","2787991"
"maharashtra","aurangabad district","2783002"
"tamil-nadu","thiruvallur district","2781638"
"delhi","west district","2781222"
"madhya-pradesh","indore district","2780295"
"maharashtra","nagpur district","2775157"
"andhra-pradesh","guntur district","2774365"
"haryana","gurugram district","2764490"
"tamil-nadu","chennai district","2763151"
"andhra-pradesh","chittoor district","2755784"
"rajasthan","jaipur district","2746860"
"maharashtra","mumbai district","2734724"
"uttar-pradesh","lucknow district","2734333"
"delhi","west district","2732926"
"andhra-pradesh","anantapur district","2720387"
"bihar","patna district","2716533"
"west-bengal","kolkata district","2716412"
"delhi","west district","2715492"
"maharashtra","chhatrapati sambhaji nagar district","2709328"
"andhra-pradesh","visakhapatnam district","2707931"
"telangana","rangareddy district","2704868"
"andhra-pradesh","east godavari district","2702234"
"tamil-nadu","coimbatore district","2702014"
"odisha","khordha district","2701963"
"andhra-pradesh","krishna district","2685215"
"maharashtra","aurangabad district","2679421"
"uttar-pradesh","ghaziabad district","2676888"
"tamil-nadu","thiruvallur district","2676065"
"odisha","khordha district","2674960"
"uttar-pradesh","gautam buddha nagar district","2664034"
"maharashtra","nashik district","2661739"
"west-bengal","north twenty four parganas district","2660664"
"madhya-pradesh","indore district","2660518"
"maharashtra","nagpur district","2655029"
"telangana","hyderabad district","2653534"
"andhra-pradesh","guntur district","2647100"
"delhi","west district","2641529"
"maharashtra","thane district","2638051"
"andhra-pradesh","chittoor district","2636036"
"tamil-nadu","chennai district","2635738"
"maharashtra","mumbai district","2634732"
"gujarat","surat district","2633443"
"maharashtra","mumbai suburban district","2630360"
"tamil-nadu","coimbatore district","2624716"
"andhra-pradesh","anantapur district","2619335"
"odisha","khordha district","2612529"
"telangana","medchal malkajgiri district","2611159"
"uttar-pradesh","lucknow district","2604663"
"haryana","gurugram district","2589324"
"west-bengal","kolkata district","2588380"
"tamil-nadu","thiruvallur district","2582607"
"andhra-pradesh","kurnool district","2580812"
"gujarat","ahmadabad district","2580178"
"maharashtra","ahmednagar district","2578315"
"odisha","khordha district","2577853"
"bihar","patna district","2577123"
"maharashtra","aurangabad district","2575931"
"maharashtra","ahmednagar district","2571674"
"andhra-pradesh","visakhapatnam district","2566650"
"maharashtra","mumbai district","2564652"
"andhra-pradesh","east godavari district","2564165"
"karnataka","bengaluru urban district","2553312"
"andhra-pradesh","krishna district","2552107"
"uttar-pradesh","ghaziabad district","2549377"
"delhi","west district","2546575"
"maharashtra","mumbai district","2537871"
"madhya-pradesh","indore district","2537328"
"maharashtra","nagpur district","2532986"
"madhya-pradesh","bhopal district","2532916"
"madhya-pradesh","bhopal district","2528021"
"andhra-pradesh","visakhapatnam district","2526830"
"west-bengal","south twenty four parganas district","2525913"
"rajasthan","jaipur district","2520933"
"andhra-pradesh","chittoor district","2517657"
"andhra-pradesh","guntur district","2514794"
"andhra-pradesh","anantapur district","2512744"
"maharashtra","nashik district","2510393"
"tamil-nadu","chennai district","2509588"
"maharashtra","pune district","2498852"
"maharashtra","mumbai district","2496314"
"uttar-pradesh","gautam buddha nagar district","2496114"
"telangana","rangareddy district","2495699"
"maharashtra","ahmednagar district","2494005"
"west-bengal","north twenty four parganas district","2491076"
"andhra-pradesh","visakhapatnam district","2487971"
"maharashtra","aurangabad district","2485041"
"tamil-nadu","thiruvallur district","2484893"
"andhra-pradesh","kurnool district","2484451"
"telangana","hyderabad district","2483843"
"odisha","khordha district","2480213"
"maharashtra","ahmednagar district","2477859"
"uttar-pradesh","lucknow district","2474317"
"west-bengal","murshidabad district","2463675"
"west-bengal","kolkata district","2461795"
"gujarat","surat district","2458596"
"madhya-pradesh","bhopal district","2456267"
"delhi","west district","2453869"
